City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Berlevag,NO,70.8578,29.0864,37.35,75,100,13.8,overcast clouds
80,Chamba,IN,32.5667,76.1333,77.4,31,35,9.4,scattered clouds
81,Tilichiki,RU,60.4667,166.1,37.02,87,100,9.73,overcast clouds
82,Rawatsar,IN,29.2833,74.3833,88.16,17,83,13.33,broken clouds
83,Busselton,AU,-33.65,115.3333,57.27,70,95,8.9,overcast clouds
84,Klaksvik,FO,62.2266,-6.589,45.52,97,80,11.23,broken clouds
85,Yellowknife,CA,62.456,-114.3525,52.32,40,75,12.66,broken clouds
86,Goderich,CA,43.7501,-81.7165,62.92,72,100,5.75,overcast clouds
87,Maniitsoq,GL,65.4167,-52.9,32.31,63,6,9.33,clear sky
88,Flinders,AU,-34.5833,150.8552,71.06,73,0,7.0,clear sky
89,Lotoshino,RU,56.2267,35.6414,37.29,93,12,8.55,few clouds
90,Khatanga,RU,71.9667,102.5,32.49,100,100,2.37,overcast clouds
91,Bonthe,SL,7.5264,-12.505,81.09,87,100,5.17,overcast clouds
92,Praia,CV,14.9215,-23.5087,81.14,44,0,23.02,clear sky
93,Manaure,CO,11.7751,-72.4445,84.4,69,80,14.72,broken clouds
94,Hay River,CA,60.8156,-115.7999,49.96,57,40,14.97,scattered clouds
95,Saskylakh,RU,71.9167,114.0833,33.64,100,100,5.23,overcast clouds
96,Lompoc,US,34.6391,-120.4579,69.94,86,100,16.11,overcast clouds
97,Thompson,CA,55.7435,-97.8558,35.76,93,100,10.36,mist
98,Nouadhibou,MR,20.931,-17.0347,75.18,64,100,16.11,overcast clouds
99,Saint-Joseph,RE,-21.3667,55.6167,66.58,83,50,11.5,light rain
100,Korla,CN,41.7597,86.1469,71.29,17,100,8.08,overcast clouds
101,Bac Lieu,VN,9.285,105.7244,84.76,74,100,9.17,overcast clouds
102,Buraydah,SA,26.326,43.975,73.85,13,0,6.76,clear sky
103,Jiuquan,CN,39.7432,98.5174,61.02,9,0,4.21,clear sky
104,Tatarsk,RU,55.219,75.9828,59.31,45,100,9.01,overcast clouds
105,Pacific Grove,US,36.6177,-121.9166,72.88,83,75,10.36,broken clouds
106,Yar-Sale,RU,66.8333,70.8333,37.92,98,99,8.63,overcast clouds
107,The Valley,AI,18.217,-63.0578,80.46,77,46,22.24,scattered clouds
108,Great Yarmouth,GB,52.6083,1.7305,59.45,90,100,9.17,overcast clouds
109,Tiksi,RU,71.6872,128.8694,15.78,92,83,5.19,broken clouds
110,Mataura,NZ,-46.1927,168.8643,50.49,61,3,2.48,clear sky
111,Marawi,PH,7.9986,124.2928,78.6,73,98,0.31,overcast clouds
112,Honiara,SB,-9.4333,159.95,86.52,64,10,4.41,clear sky
113,Novoagansk,RU,61.9449,76.6625,53.4,71,92,7.31,overcast clouds
114,Ilulissat,GL,69.2167,-51.1,21.22,63,27,0.0,scattered clouds
115,Victoria,HK,22.2855,114.1577,68.38,87,100,8.99,overcast clouds
116,Laguna,US,38.421,-121.4238,89.46,48,0,19.57,clear sky
117,Litovko,RU,49.2361,135.1742,55.96,33,9,12.35,clear sky
118,Labuhan,ID,-6.8844,112.2051,81.7,80,85,5.66,overcast clouds
119,Grand-Lahou,CI,5.1367,-5.0242,79.7,86,98,6.58,overcast clouds
120,Zhigansk,RU,66.7697,123.3711,31.37,62,100,17.38,overcast clouds
121,Port Alfred,ZA,-33.5906,26.891,61.99,83,0,8.63,clear sky
122,Olive Branch,US,34.9618,-89.8295,73.08,79,40,11.5,scattered clouds
123,Clyde River,CA,70.4692,-68.5914,25.03,86,100,5.75,overcast clouds
124,Qaanaaq,GL,77.484,-69.3632,21.43,76,93,5.28,overcast clouds
125,Kahului,US,20.8947,-156.47,89.62,43,40,18.41,scattered clouds
126,Trincomalee,LK,8.5711,81.2335,81.19,79,99,20.92,overcast clouds
127,Chegdomyn,RU,51.1167,133.0167,47.41,37,93,8.95,overcast clouds
128,Ostrovnoy,RU,68.0531,39.5131,34.77,87,21,6.24,few clouds
129,Lao Cai,VN,22.4833,103.95,68.88,84,95,0.13,overcast clouds
130,Nizhniy Odes,RU,63.6445,54.856,43.29,93,100,2.57,overcast clouds
131,Shar,KZ,49.5886,81.0453,61.99,60,7,2.42,clear sky
132,Tuktoyaktuk,CA,69.4541,-133.0374,37.4,87,75,4.61,broken clouds
133,Paraopeba,BR,-19.2757,-44.4033,65.26,76,79,0.89,light rain
134,Broome,US,42.2506,-75.833,68.67,85,0,6.91,clear sky
135,Ancud,CL,-41.8697,-73.8203,46.6,76,100,9.84,overcast clouds
136,Puerto Ayora,EC,-0.7393,-90.3518,72.55,96,84,1.01,broken clouds
137,Pangnirtung,CA,66.1451,-65.7125,16.2,91,49,4.63,scattered clouds
138,Ribeira Grande,PT,38.5167,-28.7,58.66,80,13,41.94,few clouds
139,Garissa,KE,-0.4536,39.6401,75.76,77,60,18.43,broken clouds
140,Ahuimanu,US,21.4447,-157.8378,81.19,67,0,12.66,clear sky
141,Touros,BR,-5.1989,-35.4608,77.25,89,79,8.1,broken clouds
142,Castro,BR,-24.7911,-50.0119,53.62,97,8,5.06,clear sky
143,Mandalgovi,MN,45.7625,106.2708,58.98,16,70,2.15,broken clouds
144,Sao Filipe,CV,14.8961,-24.4956,75.34,75,100,8.12,overcast clouds
145,La Ronge,CA,55.1001,-105.2842,48.42,49,75,10.36,broken clouds
146,Cabo San Lucas,MX,22.8909,-109.9124,94.3,14,40,12.66,scattered clouds
147,Kyren,RU,51.6828,102.1408,66.56,22,12,2.26,few clouds
148,Falkenberg,SE,56.9055,12.4912,44.74,87,11,4.12,few clouds
149,Phayao,TH,19.25,100.25,78.42,84,77,1.77,broken clouds
150,Moose Factory,CA,51.2585,-80.6094,62.6,72,100,11.5,overcast clouds
151,Hualmay,PE,-11.0964,-77.6139,63.54,84,9,8.72,clear sky
152,Jijiga,ET,9.35,42.8,62.96,67,0,7.27,clear sky
153,Lianran,CN,24.9227,102.485,46.94,89,100,3.58,overcast clouds
154,Adrar,MR,20.5022,-10.0711,85.66,12,8,9.35,clear sky
155,Praia Da Vitoria,PT,38.7333,-27.0667,62.85,94,40,43.28,scattered clouds
156,Never,FR,46.9896,3.159,64.15,97,96,5.97,overcast clouds
157,Raudeberg,NO,61.9875,5.1352,42.87,87,21,15.21,few clouds
158,Nexo,DK,55.0607,15.1306,42.89,78,2,5.95,clear sky
159,Batemans Bay,AU,-35.7167,150.1833,63.1,47,0,6.71,clear sky
160,Constitucion,CL,-35.3333,-72.4167,56.01,57,100,3.71,overcast clouds
161,Chuy,UY,-33.6971,-53.4616,46.92,70,0,7.87,clear sky
162,Alofi,NU,-19.0595,-169.9187,78.69,61,40,11.5,scattered clouds
163,Kampot,KH,10.6167,104.1833,78.85,74,68,7.09,broken clouds
164,Teahupoo,PF,-17.8333,-149.2667,80.56,72,70,14.45,light rain
