City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
402,Kaura Namoda,NG,85.95,few clouds,12.5898,6.5779,Moonlight Hotel
403,Atambua,ID,81.36,clear sky,-9.1061,124.8925,Kost Alfa Flat
412,Numan,NG,84.65,broken clouds,9.4667,12.0333,Zangun Motel
425,Manokwari,ID,82.6,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
427,Ixtapa,MX,80.22,clear sky,20.7,-105.2,hotel la terminal
433,Yaring,TH,81.28,overcast clouds,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
440,Taoudenni,ML,88.95,broken clouds,22.6783,-3.9836,
443,Houma,US,82.0,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
447,Buluang,PH,85.19,overcast clouds,13.3068,123.3425,Sacueza Beach Resort
469,Daru,PG,82.76,clear sky,-9.0763,143.2092,Daru Lodge
491,Port Blair,IN,83.75,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
495,Samarai,PG,82.81,clear sky,-10.6167,150.6667,Nuli Sapi
497,Kilindoni,TZ,80.67,clear sky,-7.9139,39.6668,Bustani B&B
498,Bara,NG,83.84,scattered clouds,10.3744,10.7288,
505,Tautira,PF,81.25,light rain,-17.7333,-149.15,Pension Oaoa
511,Morant Bay,JM,82.02,overcast clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
532,Puerto Escondido,MX,84.92,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
540,Carlsbad,US,86.72,haze,33.1581,-117.3506,Carlsbad Inn Beach Resort
552,Isabela,PH,80.65,light rain,6.7085,121.9711,Isawad Resort
556,Gorontalo,ID,84.2,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
561,Turbat,PK,83.7,clear sky,26.0023,63.044,Mubashar Quarters
580,Sur,OM,82.36,clear sky,22.5667,59.5289,Sur Plaza Hotel
584,Lahaina,US,89.6,scattered clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
593,Kontagora,NG,81.18,overcast clouds,10.3999,5.4695,Queens Guest Inn
594,Lahij,YE,81.64,clear sky,13.1667,44.5833,
598,Nuevo Progreso,MX,82.54,clear sky,23.1667,-97.95,Balneario Rio el Paraiso
603,Guanica,PR,80.51,few clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
609,Namatanai,PG,84.87,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
612,Salcedo,PH,84.76,overcast clouds,12.8105,121.4674,Yamaji Freeman Farm
617,Porto Novo,BJ,84.02,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
627,Eydhafushi,MV,81.95,moderate rain,5.1033,73.0708,Soneva Fushi
631,Martinez,US,81.25,clear sky,38.0194,-122.1341,Best Western John Muir Inn
634,Sarankhola,BD,85.32,overcast clouds,22.3082,89.7897,Red Crescent Cyclone Shelter Rashulpur
644,Pucallpa,PE,80.64,few clouds,-8.3791,-74.5539,Hotel Sol de Oriente - Pucallpa
651,El Campo,US,83.26,clear sky,29.1966,-96.2697,"Lonestar Inn, El Campo Texas"
656,Boyolangu,ID,81.19,broken clouds,-8.1181,111.8935,Yos ega cv
665,Kudahuvadhoo,MV,83.64,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
666,Santa Rosa,PH,86.11,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
669,Pochutla,MX,85.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
670,Urucui,BR,81.05,light rain,-7.2294,-44.5561,Hotel Premium Piauí
674,Oistins,BB,80.69,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
680,Natchitoches,US,86.85,clear sky,31.7668,-93.1335,Super 8 by Wyndham Natchitoches
